,0,1,index,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,extra_people,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,Essentials,Smoke detector,Heating,Hangers,Hair dryer,Wifi,Carbon monoxide detector,Shampoo,Iron,Kitchen,{TV,Laptop friendly workspace,Washer,Dryer,Fire extinguisher
625,0.35975904966181776,-0.2504619714776441,625.0,1970,3,1,2,1,1,7,1,3,2,2.0,1.0,1.0,2,1,1.0,2,6,6,115,97.0,1,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
626,2.0992772287159798,0.0030432987021559144,626.0,1970,2,1,1,1,1,13,1,6,1,2.0,1.0,1.0,1,1,2.0,3,13,13,169,95.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
627,4.456938769532014,-0.8932474153412187,627.0,1970,2,1,1,1,1,2,1,1,2,2.0,1.0,1.0,2,1,1.0,8,22,22,225,96.0,1,2,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,1.8682660515954244,-0.6694957779358238,628.0,1970,3,1,2,1,1,1,1,1,1,3.0,1.0,2.0,1,1,3.0,3,1,1,10,99.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
629,1.301749960994141,-0.17446975231864895,629.0,1970,2,1,2,1,1,12,1,1,1,6.0,1.0,2.0,3,1,4.0,2,13,13,267,93.0,2,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
630,2.192536113431656,-0.9008063683437146,630.0,1970,2,1,1,1,1,3,1,6,1,2.0,1.0,1.0,2,1,2.0,12,12,12,156,99.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
631,-0.1683067686034308,2.2176149065654283,631.0,1970,4,4,1,1,2,6,1,8,2,4.0,1.0,0.0,1,1,1.0,3,69,69,268,97.0,1,1,2,29.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
632,2.878009591339412,-0.6251811618474373,632.0,1970,2,1,1,1,1,3,1,2,1,6.0,1.0,2.0,6,52,4.0,10,32,32,73,100.0,1,1,1,3.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
633,-1.062748704995048,-1.338525005888593,633.0,1970,4,4,2,1,1,2,1,2,1,4.0,1.0,2.0,1,1,1.0,3,1,1,49,100.0,1,1,1,1.0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
634,1.9697528131377255,-0.8569143115257273,634.0,1970,3,1,2,1,1,1,1,2,1,5.0,2.0,2.0,3,1,4.0,11,5,5,82,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
